Title,Tele,Email,Web,Addy,Poblacion,Type,More Info,Position,Contact Source
A-cero,+34 91 436 29 39,r.alonso@a-cero.com / info@immowr.be / a-cero@a-cero.com,a-cero.com,"Santa Cruz de Marcenado 2 Bajo 1
28015 MadridSpain",x,Architectural Design Studios,,,
Borrell Jover,(+34) 93 487 61 62,mail@borrell-jover.com,borrell-jover.com,"C/ Mallorca, 273 1º 2ª
08008 BarcelonaSpain",x,Architectural Design Studios,,,
MAIO,+34 932138770,x,maio-maio.com,"Bruniquer 23
08012 BarcelonaSpain",x,Architectural Design Studios,,,
Estudio Carme Pinós,+34 934 160 372,x,cpinos.com,"Avd. Diagonal 490, 3-2
08006 BarcelonaSpain",x,Architectural Design Studios,,,
Built by Associative Data,+34 932 955 860,x,bbad.co,"Casp 41, Officina C
08010 BarcelonaSpain",x,Architectural Design Studios,,,
Lagranja Design,+34 933568405,newbusiness@lagranjadesign.com / singapore@lagranjadesign.com / press@lagranjadesign.com / info@lagranjadesign.com / tnewbusiness@lagranjadesign.com / hr@lagranjadesign.com / barcelona@lagranjadesign.com / istanbul@lagranjadesign.com,lagranjadesign.com,"Pamplona 96-104
08018 BarcelonaSpain",x,Interior Design Studios,,,
Quespacio,963.303.156,info@masquespacio.com,masquespacio.com,"Paseo de la Alameda 65, 34B
46023 ValenciaSpain",x,Interior Design Studios,,,
YLAB Arquitectos,+34 93 4864807,info@ylab.es,ylab.es,"Pallars 85, 4-6
08018 BarcelonaSpain",x,Architectural Design Studios,,,
Hiruki Studio,+34 943 456 618,studio@hirukistudio.com,hirukistudio.com,"Isabel II nº 5 20011
DonostiaSpain",x,Interior Design Studios,,,
Estudio SIC,+34 913 69 06 77,x,estudiosic.es,"C / Duque de Fernan Nuñez 2
28012 MadridSpain",x,Architectural Design Studios,,,
Dear Design,+34 934 590 524,contact@fern.paris / hola@deardesign.studio / press@deardesign.studio,deardesign.net,"Carrer Novell 36
08028 BarcelonaSpain",x,Interior Design Studios,,,
BG Studio,+34 963 512 093,x,bg-studio.com,"Pascual y Genis 16, 2D
46002 ValenciaSpain",x,Architectural Design Studios,,,
Cruz y Ortiz,+34 954 50 28 25,x,cruzyortiz.com,"Calle Santas Patronas, 36
41001 SevillaSpain",x,Architectural Design Studios,,,
NOMO studio,+34 935 340 790,karl@nomostudio.eu,nomostudio.eu,"C/ Marià Cubí 80
08006 BarcelonaSpain",x,Architectural Design Studios,,,
CH+QS,+34 91 5531100,mail@chqs.net,chqs.net,"Fernández de la Hoz, 61
Madrid 28003Spain",x,Architectural Design Studios,,,
Fran Silvestre Arquitectos,+34 963 81 65 61,x,fransilvestrearquitectos.com,"San Vicente Mártir 160, 1
46007 ValenciaSpain",x,Architectural Design Studios,,,
Mesura,+34 934 672 190,info@mesura.eu / 22@2.mp4,mesura.eu,"Carrer de Gomis, 34
08023 BarcelonaSpain",x,Architectural Design Studios,,,
Merry,+34914338833,jobs@merry.es / info@merry.es / merry@merry.com,merry.es,"Calle Conde de Xiquena 4
28004 MadridSpain",x,Interior Design Studios,,,
Ramón Esteve Estudio,+34 96 351 04 34,info@ramonesteve.com,ramonesteve.com,"Pere Borrego i Galindo 7
Valencia 46003Spain",x,Interior Design Studios,,,
Francisco Mangado,+34 948276202,x,fmangado.es,"Vuelta del Castillo 5
31007 Pamplona
NavarraSpain",x,Architects,,,
OHLAB,+34 971 919 909,info@ohlab.net,ohlab.net,"Manuel Guasp 6A
07006 Palma de MallorcaSpain",x,Architecture Companies,,,
Mecanismo Structural Engineering,work: (0034) 915216991,info@mecanismo.es,http://www.mecanismo.es/,"Madrid, Spain",x,Architecture / Design Firm,,,
IDOM,work: +34 94 479 76 00 / http://www.idom.com/,info@idom.com,http://www.idom.com/,"23, Zarandoa Etorbidea, Bilbao, Spain",x,Architecture / Design Firm,,,
BATAVIA Interiorismo,work: + 34 91 594 2233,info@batavia.es,http://www.batavia.es/,"Madrid, Spain",x,Architecture / Design Firm,,,
RUIZ PARDO - NEBREDA,work: 34 609 54 63 10,office@ruizpardo-nebreda.com,http://www.ruizpardo-nebreda.com/,"Moncloa - Aravaca, Madrid, Spain",x,Architecture / Design Firm,,,
OHLAB / oliver hernaiz architecture lab,work: 0034971919909,info@ohlab.net,http://www.ohlab.net/,"6a, Carrer Manuel Guasp, Palma, Spain",x,Architecture / Design Firm,,,
RCR Arquitectes,x,rcr@rcrarquitectes.es,http://www.rcrarquitectes.es/,"26, Carrer Fontanella, Olot, Spain",x,Architecture / Design Firm,,,
CrystalZoo,work: +34 965 20 21 20,joseluiscampos@crystalzoo.net,http://www.crystalzoo.eu/,"Alicante, Spain",x,Architecture / Design Firm,,,
